Mean               	Average            	Std dev            	Mimimum            	Maximum            	# Occurances	# Books	Words
0.00000640512409928	0.00001603662426674	0.00003117887409204	0.00000000000000000	0.00028859049009456	 63	120	LEAN
0.00000640512409928	0.00001375513616067	0.00002028030432314	0.00000000000000000	0.00010680622680302	 66	120	WANDER
0.00000639030718207	0.00006468204397111	0.00012734184333881	0.00000000000000000	0.00070611800817079	 67	120	REIGN
0.00000639030718207	0.00004982717342424	0.00014764195252823	0.00000000000000000	0.00133380310046306	 69	120	OCCURS
0.00000639030718207	0.00003500594946187	0.00008824413923443	0.00000000000000000	0.00068859984697781	 63	120	TOWERS
0.00000639030718207	0.00003420415428605	0.00007299603555347	0.00000000000000000	0.00043788736189706	 66	120	COURTS
0.00000639030718207	0.00002884403755749	0.00005927438667842	0.00000000000000000	0.00049729413485447	 63	120	FLAG
0.00000639030718207	0.00002878984298665	0.00006933851006346	0.00000000000000000	0.00062120024033321	 64	120	BELT
0.00000639030718207	0.00002822175535534	0.00005642851660797	0.00000000000000000	0.00036360631352781	 64	120	FRO
0.00000639030718207	0.00002754630475533	0.00006180433807103	0.00000000000000000	0.00053494774473859	 66	120	MECHANICAL
0.00000639030718207	0.00002436436920692	0.00007174574149553	0.00000000000000000	0.00065375672868569	 67	120	SHIELD
0.00000639030718207	0.00002345445435027	0.00005145812206745	0.00000000000000000	0.00046735523671543	 62	120	EDUCATED
0.00000639030718207	0.00002055386548369	0.00003459584306831	0.00000000000000000	0.00016152342089603	 66	120	ADJOINING
0.00000639030718207	0.00001903439715472	0.00005004657322250	0.00000000000000000	0.00045099103368674	 63	120	FLOWED
0.00000639030718207	0.00001763293973878	0.00002685726307558	0.00000000000000000	0.00016255809061179	 67	120	BULK
0.00000639030718207	0.00001759382569032	0.00006379996042444	0.00000000000000000	0.00069151781636940	 67	120	ACCURACY
0.00000639030718207	0.00001580405009289	0.00002533423990907	0.00000000000000000	0.00012751849018108	 63	120	POSSESSES
0.00000639030718207	0.00001549948615145	0.00004089737074009	0.00000000000000000	0.00041028662202608	 64	120	HANDLED
0.00000639030718207	0.00001283041260099	0.00001751268820499	0.00000000000000000	0.00008267332462508	 66	120	AVAIL
0.00000630528950737	0.00006878657743497	0.00016636399627217	0.00000000000000000	0.00102235103219937	 65	120	MACHINE
0.00000630528950737	0.00004450394004235	0.00017511255731110	0.00000000000000000	0.00175099683107639	 64	120	LITERARY
0.00000630528950737	0.00004348558174160	0.00012971880723017	0.00000000000000000	0.00127294054526040	 63	120	CENT
0.00000630528950737	0.00004344028776222	0.00009568073638162	0.00000000000000000	0.00066727038749345	 66	120	COUNTENANCE
0.00000630528950737	0.00003093343516052	0.00006483942881646	0.00000000000000000	0.00046159764072317	 68	120	VITAL
0.00000630528950737	0.00003013338437169	0.00005427093748607	0.00000000000000000	0.00038818102936475	 64	120	BROW
0.00000630528950737	0.00002902840164435	0.00007160015672583	0.00000000000000000	0.00056720922930446	 63	120	DRUM
0.00000630528950737	0.00002854408926850	0.00005037919460794	0.00000000000000000	0.00026855250201414	 65	120	UNIVERSITY
0.00000630528950737	0.00002803560744433	0.00005630747907840	0.00000000000000000	0.00030587074494327	 66	120	APPLE
0.00000630528950737	0.00002439258458404	0.00009688406646964	0.00000000000000000	0.00101946696441575	 68	120	SELECTION
0.00000630528950737	0.00002397276767656	0.00006913710045652	0.00000000000000000	0.00069768816886419	 62	120	UNITE
0.00000630528950737	0.00002166671206645	0.00003944732883105	0.00000000000000000	0.00018691089690529	 63	120	WEEPING
0.00000630528950737	0.00002082232946855	0.00004240594114387	0.00000000000000000	0.00030438311688312	 66	120	THROWS
0.00000630528950737	0.00001988378488244	0.00003963450001252	0.00000000000000000	0.00030260289780741	 64	120	APPETITE
0.00000630528950737	0.00001925191516403	0.00003016497346801	0.00000000000000000	0.00018195418797889	 67	120	OBEDIENCE
0.00000630528950737	0.00001801218989976	0.00002478248044777	0.00000000000000000	0.00010275380189067	 65	120	CLIMB
0.00000630528950737	0.00001624276327544	0.00002683993390384	0.00000000000000000	0.00014588037146447	 63	120	RELEASE
0.00000630528950737	0.00001574302373097	0.00002517446229737	0.00000000000000000	0.00019064868214098	 69	120	HANGS
0.00000630528950737	0.00001503358336723	0.00002882765974974	0.00000000000000000	0.00024031401030680	 63	120	BIND
0.00000630528950737	0.00001488846099977	0.00002220794877849	0.00000000000000000	0.00011324743305818	 64	120	CHECKED
0.00000630528950737	0.00001402751814200	0.00002859052617285	0.00000000000000000	0.00026052974381242	 64	120	SOLELY
0.00000629984754369	0.00006731459858598	0.00026366219405008	0.00000000000000000	0.00201561851127835	 65	120	COLUMNS
0.00000629984754369	0.00004005259263029	0.00009455366583653	0.00000000000000000	0.00072773386556378	 65	120	DECEMBER
0.00000629984754369	0.00003496196501467	0.00011617559139431	0.00000000000000000	0.00121001125098181	 63	120	WIT
0.00000629984754369	0.00003196814963859	0.00010316461037215	0.00000000000000000	0.00092867756315007	 61	120	PIPES
0.00000629984754369	0.00003155094750442	0.00008538445737086	0.00000000000000000	0.00084002073242659	 62	120	HOMES
0.00000629984754369	0.00002924853326612	0.00005957283691786	0.00000000000000000	0.00037147102526003	 62	120	CHIMNEY
0.00000629984754369	0.00002179777564104	0.00003748423932333	0.00000000000000000	0.00021015025743407	 65	120	CHEAP
0.00000629984754369	0.00002129513638271	0.00005305292003599	0.00000000000000000	0.00047835446065535	 63	120	SWIMMING
0.00000629984754369	0.00002001289941803	0.00003303320024044	0.00000000000000000	0.00017938292274575	 65	120	WONDERED
0.00000629984754369	0.00001992992193008	0.00004611915478977	0.00000000000000000	0.00030955918771669	 65	120	DEVICE
